"goodreads_book_id","best_book_id","work_id","authors","original_publication_year","original_title","title","language_code","average_rating","ratings_count","work_text_reviews_count"
7260188,7260188,8812783,"Suzanne Collins",2010,"Mockingjay","Mockingjay (The Hunger Games, #3)","English",4.03,1719760,96274
2,2,2809203,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix","Harry Potter and the Order of the Phoenix (Harry Potter, #5)","English",4.46,1735368,28685
12232938,12232938,1145090,"Alice Sebold",2002,"The Lovely Bones","The Lovely Bones","English",3.77,1605173,36642
15881,15881,6231171,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets","Harry Potter and the Chamber of Secrets (Harry Potter, #2)","English",4.37,1779331,34172
6,6,3046572,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire","Harry Potter and the Goblet of Fire (Harry Potter, #4)","English",4.53,1753043,31084
136251,136251,2963218,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows","Harry Potter and the Deathly Hallows (Harry Potter, #7)","English",4.61,1746574,51942
968,968,2982101,"Dan Brown",2003,"The Da Vinci Code","The Da Vinci Code (Robert Langdon, #2)","English",3.79,1447148,41560
1,1,41335427,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince","Harry Potter and the Half-Blood Prince (Harry Potter, #6)","English",4.54,1678823,27520
7624,7624,2766512,"William Golding",1954,"Lord of the Flies","Lord of the Flies","English",3.64,1605019,26886
8442457,19288043,13306276,"Gillian Flynn",2012,"Gone Girl","Gone Girl","English",4.03,512475,121614
4667024,4667024,4717423,"Kathryn Stockett",2009,"The Help","The Help","English",4.45,1531753,78204
890,890,40283,"John Steinbeck",1937,"Of Mice and Men","Of Mice and Men","English",3.84,1467496,24642
930,929,1558965,"Arthur Golden",1997,"Memoirs of a Geisha","Memoirs of a Geisha","English",4.08,1300209,25605
10818853,10818853,15732562,"E.L. James",2011,"Fifty Shades of Grey","Fifty Shades of Grey (Fifty Shades, #1)","English",3.67,1338493,75437
865,865,4835472,"Paulo Coelho, Alan R. Clarke",1988,"O Alquimista","The Alchemist","English",3.82,1299566,55781
3636,3636,2543234,"Lois Lowry",1993,"The Giver","The Giver (The Giver, #1)","English",4.12,1296825,54084
100915,100915,4790821,"C.S. Lewis",1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)","English",4.19,1531800,15186
14050,18619684,2153746,"Audrey Niffenegger",2003,"The Time Traveler's Wife","The Time Traveler's Wife","English",3.95,746287,43382
13496,13496,1466917,"George R.R. Martin",1996,"A Game of Thrones","A Game of Thrones (A Song of Ice and Fire, #1)","English",4.45,1319204,46205
19501,19501,3352398,"Elizabeth Gilbert",2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love","English",3.51,1181647,49714
28187,28187,3346751,"Rick Riordan",2005,"The Lightning Thief","The Lightning Thief (Percy Jackson and the Olympians, #1)","English",4.23,1366265,46006
1934,1934,3244642,"Louisa May Alcott",1868,"Little Women","Little Women (Little Women, #1)","English",4.04,1257121,17090
10210,10210,2977639,"Charlotte Brontë, Michael Mason",1847,"Jane Eyre","Jane Eyre","English",4.1,1198557,31212
15931,15931,1498135,"Nicholas Sparks",1996,"The Notebook","The Notebook (The Notebook, #1)","English",4.06,1053403,17279
43641,43641,3441236,"Sara Gruen",2006,"Water for Elephants","Water for Elephants","English",4.07,1068146,55732
19063,19063,878368,"Markus Zusak",2005,"The Book Thief","The Book Thief","English",4.36,1159741,93611
49041,49041,3203964,"Stephenie Meyer",2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)","English",3.52,1149630,44020
30119,30119,30518,"Shel Silverstein",1974,"Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein","Where the Sidewalk Ends","English",4.29,1016888,9234
256683,256683,2267189,"Cassandra Clare",2007,"City of Bones","City of Bones (The Mortal Instruments, #1)","English",4.12,1154031,51589
428263,428263,2675454,"Stephenie Meyer",2007,"Eclipse","Eclipse (Twilight, #3)","English",3.69,1134511,35216
113436,113436,3178011,"Christopher Paolini",2002,"Eragon","Eragon (The Inheritance Cycle, #1)","English",3.86,1104021,18280
11,386162,3078186,"Douglas Adams",1979,"The Hitchhiker's Guide to the Galaxy","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","English",4.2,936782,20345
5129,5129,3204877,"Aldous Huxley",1932,"Brave New World","Brave New World","English",3.97,1022601,20095
1162543,1162543,2960529,"Stephenie Meyer",2008,"Breaking Dawn","Breaking Dawn (Twilight, #4)","English",3.7,1070245,44550
37435,37435,3275013,"Sue Monk Kidd",2001,"The Secret Life of Bees","The Secret Life of Bees","English",4.01,916189,26522
2956,2956,1835605,"Mark Twain, John Seelye, Guy Cardwell",1884,"The Adventures of Huckleberry Finn","The Adventures of Huckleberry Finn","English",3.8,953758,12448
24178,24178,987048,"E.B. White, Garth Williams, Rosemary Wells",1952,"Charlotte's Web","Charlotte's Web","English",4.15,1064521,13044
1618,1618,4259809,"Mark Haddon",2003,"The Curious Incident of the Dog in the Night-Time","The Curious Incident of the Dog in the Night-Time","English",3.85,867553,35796
22557272,22557272,41107568,"Paula Hawkins",2015,"The Girl on the Train","The Girl on the Train","English",3.88,1008778,93600
119322,119322,1536771,"Philip Pullman",1995,"Northern Lights","The Golden Compass (His Dark Materials, #1)","English",3.94,953970,14915
6185,6185,1565818,"Emily Brontë, Richard J. Dunn",1847,"Wuthering Heights","Wuthering Heights","English",3.82,899195,26157
10917,10917,1639903,"Jodi Picoult",2004,"My Sister's Keeper","My Sister's Keeper","English",4.06,863879,30719
4981,4981,1683562,"Kurt Vonnegut Jr.",1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death","Slaughterhouse-Five","English",4.06,846488,19646
18405,18405,3358283,"Margaret Mitchell",1936,"Gone with the Wind","Gone with the Wind","English",4.28,873981,16050
128029,128029,3271379,"Khaled Hosseini",2007,"A Thousand Splendid Suns","A Thousand Splendid Suns","English",4.34,818742,43645
22628,22628,2236198,"Stephen Chbosky",1999,"The Perks of Being a Wallflower","The Perks of Being a Wallflower","English",4.21,888806,47116
11735983,11735983,15524542,"Veronica Roth",2012,"Insurgent","Insurgent (Divergent, #2)","English",4.07,836362,55873
375802,375802,2422333,"Orson Scott Card",1985,"Ender's Game","Ender's Game (Ender's Saga, #1)","English",4.3,813439,38054
18490,18490,4836639,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus","Frankenstein","English",3.75,808589,19993
11588,11588,849585,"Stephen King",1977,"The Shining","The Shining (The Shining #1)","English",4.17,791850,14936
1656001,1656001,3328799,"Stephenie Meyer",2008,"The Host","The Host (The Host, #1)","English",3.84,749780,39778
99561,99561,919292,"John Green",2005,"Looking for Alaska","Looking for Alaska","English",4.09,783470,47128
14935,14935,2809709,"Jane Austen, Tony Tanner, Ros Ballaster",1811,"Sense and Sensibility","Sense and Sensibility","English",4.06,738894,11526
38709,38709,1679789,"Louis Sachar, Louis Sachar",1998,"Holes","Holes (Holes, #1)","English",3.93,747445,15832
5139,5139,38765,"Lauren Weisberger",2003,"The Devil Wears Prada","The Devil Wears Prada (The Devil Wears Prada, #1)","English",3.7,665930,8024
157993,157993,2180358,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,"Le Petit Prince","The Little Prince","English",4.28,738757,24537
7445,7445,2944133,"Jeannette Walls",2005,"The Glass Castle","The Glass Castle","English",4.24,621099,40777
1845,1845,3284484,"Jon Krakauer",1996,"Into the Wild","Into the Wild","English",3.94,647684,17299
1953,1953,2956372,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,"A Tale of Two Cities","A Tale of Two Cities","English",3.81,637412,13093
370493,370493,30530,"Shel Silverstein",1964,"The Giving Tree","The Giving Tree","English",4.38,702332,14368
32542,32542,1804929,"John Grisham",1989,"A Time to Kill","A Time to Kill","English",4.03,597775,4239
1617,1617,265616,"Elie Wiesel, Marion Wiesel",1958,"Un di Velt Hot Geshvign","Night (The Night Trilogy #1)","English",4.3,691231,22001
6442769,6442769,3364505,"John Green",2008,"Paper Towns","Paper Towns","English",3.88,461311,42717
21787,21787,992628,"William Goldman",1973,"The Princess Bride","The Princess Bride","English",4.25,628637,15630
231804,231804,1426690,"S.E. Hinton",1967,"The Outsiders","The Outsiders","English",4.06,659248,22662
6186357,6186357,6366642,"James Dashner",2009,"The Maze Runner","The Maze Runner (Maze Runner, #1)","English",4.02,719925,48942
1202,1202,5397,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","English",3.93,524191,13668
2998,2998,3186437,"Frances Hodgson Burnett",1911,"The Secret Garden","The Secret Garden","English",4.12,639357,13054
320,320,3295655,"Gabriel García Márquez, Gregory Rabassa",1967,"Cien años de soledad","One Hundred Years of Solitude","English",4.04,490565,21671
5297,5297,1858012,"Oscar Wilde, Jeffrey Eugenides",1891,"The Picture of Dorian Gray","The Picture of Dorian Gray","English",4.06,590014,19647
13536860,13536860,18034963,"E.L. James",2012,"Fifty Shades Freed","Fifty Shades Freed (Fifty Shades, #3)","English",3.88,387290,25287
17245,17245,3165724,"Bram Stoker, Nina Auerbach, David J. Skal",1897,"Dracula","Dracula","English",3.98,618973,17263
5060378,5060378,6976108,"Stieg Larsson, Reg Keeland",2006,"Flickan som lekte med elden","The Girl Who Played with Fire (Millennium, #2)","English",4.22,563994,31423
11857408,11857408,16813814,"E.L. James",2011,"Fifty Shades Darker","Fifty Shades Darker (Fifty Shades, #2)","English",3.87,552059,28052
7244,7244,810663,"Barbara Kingsolver",1998,"The Poisonwood Bible","The Poisonwood Bible","English",4.02,546502,19941
4137,4137,1030767,"David Sedaris",2000,"Me Talk Pretty One Day","Me Talk Pretty One Day","English",3.97,495736,14982
19543,19543,3020535,"Maurice Sendak",1963,"Where the Wild Things Are","Where the Wild Things Are","English",4.22,620618,9102
7126,7126,391568,"Alexandre Dumas, Robin Buss",1844,"Le Comte de Monte-Cristo","The Count of Monte Cristo","English",4.21,555822,15925
6288,6288,3355573,"Cormac McCarthy",2006,"The Road","The Road","English",3.95,504793,38980
18710190,18710190,15524549,"Veronica Roth",2013,"Allegiant","Allegiant (Divergent, #3)","English",3.63,463257,62536
9418327,9418327,14302659,"Tina Fey",2011,"Bossypants","Bossypants","English",3.94,506250,35142
3473,3473,3143497,"Nicholas Sparks",1999,"A Walk to Remember","A Walk to Remember","English",4.15,546948,11071
9416,9416,3237433,"Sophie Kinsella",2000,"Confessions of a Shopaholic","Confessions of a Shopaholic (Shopaholic, #1)","English",3.61,543658,11170
24280,24280,3208463,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,"Les Misérables","Les Misérables","English",4.14,513407,12505
10572,10572,3272005,"George R.R. Martin",1998,"A Clash of Kings","A Clash of Kings  (A Song of Ice and Fire, #2)","English",4.4,523303,20325
10441,10441,2868431,"Kim Edwards",2005,"The Memory Keeper's Daughter","The Memory Keeper's Daughter","English",3.64,501430,18027
15507958,15507958,17763198,"Jojo Moyes",2012,"Me Before You","Me Before You (Me Before You, #1)","English",4.27,587647,71412
168668,168668,814330,"Joseph Heller",1961,"Catch-22","Catch-22","English",3.98,563265,13734
6900,6900,1995335,"Mitch Albom, Saulius Dagys",1997,"Tuesdays with Morrie","Tuesdays with Morrie","English",4.06,556518,19272
2187,2187,1352495,"Jeffrey Eugenides",2002,"Middlesex","Middlesex","English",3.98,488243,20880
24583,24583,41326609,"Mark Twain, Guy Cardwell, John Seelye",1876,"The Adventures of Tom Sawyer","The Adventures of Tom Sawyer","English",3.89,555359,7165
18131,18131,948387,"Madeleine L'Engle",1962,"A Wrinkle in Time","A Wrinkle in Time (A Wrinkle in Time Quintet, #1)","English",4.04,615907,19413
7763,7763,1955658,"Amy Tan",1989,"The Joy Luck Club","The Joy Luck Club","English",3.9,515090,6708
38447,38447,1119185,"Margaret Atwood",1985,"The Handmaid's Tale","The Handmaid's Tale","English",4.06,607889,35925
452306,452306,1058370,"Ann Brashares",2001,"The Sisterhood of the Traveling Pants","The Sisterhood of the Traveling Pants (Sisterhood, #1)","English",3.75,525706,6477
7604,7604,1268631,"Vladimir Nabokov, Craig Raine",1955,"Lolita","Lolita","English",3.88,469836,18107
37442,37442,1479280,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","English",3.52,506900,22926
5358,5358,38270,"John Grisham",1991,"The Firm","The Firm (Penguin Readers, Level 5)","English",3.99,488269,3139
7937843,7937843,9585076,"Emma Donoghue",2010,"Room","Room","English",4.03,511360,42254
234225,234225,3634639,"Frank Herbert",1965,"Dune","Dune (Dune Chronicles #1)","English",4.19,485032,13239
2612,2612,2124255,"Malcolm Gladwell",2000,"The Tipping Point: How Little Things Can Make a Big Difference","The Tipping Point: How Little Things Can Make a Big Difference","English",3.92,490504,10895
11084145,11084145,16005831,"Walter Isaacson",2011,"Steve Jobs","Steve Jobs","English",4.09,560715,15198
332613,332613,2100252,"Ken Kesey",1962,"One Flew Over the Cuckoo's Nest","One Flew Over the Cuckoo's Nest","English",4.18,491642,7855
2165,2165,69741,"Ernest Hemingway",1952,"The Old Man and the Sea","The Old Man and the Sea","English",3.73,520630,16716
4395,18114322,2931549,"John Steinbeck",1939,"The Grapes of Wrath","The Grapes of Wrath","English",3.92,322321,12991
8127,8127,3464264,"L.M. Montgomery",1908,"Anne of Green Gables","Anne of Green Gables (Anne of Green Gables, #1)","English",4.23,502247,14041
3777732,3777732,3443248,"Cassandra Clare",2009,"City of Glass","City of Glass (The Mortal Instruments, #3)","English",4.34,593173,22736
62291,62291,1164465,"George R.R. Martin",2000,"A Storm of Swords","A Storm of Swords (A Song of Ice and Fire, #3)","English",4.54,469022,19497
137791,137791,1010054,"Rebecca Wells",1996,"Divine Secrets of the Ya-Ya Sisterhood","Divine Secrets of the Ya-Ya Sisterhood","English",3.79,465676,3867
10964,10964,2489796,"Diana Gabaldon",1991,"Outlander","Outlander (Outlander, #1)","English",4.2,515547,36707
12296,12296,4925227,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,"The Scarlet Letter","The Scarlet Letter","English",3.37,509883,11428
9460487,9460487,14345371,"Ransom Riggs",2011,"Miss Peregrine’s Home for Peculiar Children","Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)","English",3.89,613674,53569
6892870,6892870,12883496,"Stieg Larsson, Reg Keeland",2007,"Luftslottet som sprängdes","The Girl Who Kicked the Hornet's Nest (Millennium, #3)","English",4.2,443951,26766
18007564,18007564,21825181,"Andy Weir",2012,"The Martian","The Martian","English",4.39,423344,61298
5043,5043,3359698,"Ken Follett",1989,"The Pillars of the Earth","The Pillars of the Earth (The Kingsbridge Series, #1)","English",4.29,462517,26283
8664353,8664353,12946965,"Laura Hillenbrand",2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption","English",4.4,487775,41572
976,976,3135896,"Dan Brown",2001,"Deception Point","Deception Point","English",3.67,455610,7798
17333223,17333223,24065147,"Donna Tartt",2013,"The Goldfinch","The Goldfinch","English",3.87,396756,44631
1217100,29844228,2588213,"Jay Asher",2007,"Thirteen Reasons Why","Thirteen Reasons Why","English",4.02,463783,43467
2865,2865,3358875,"Tracy Chevalier",1999,"Girl with a Pearl Earring","Girl with a Pearl Earring","English",3.85,467577,8011
4374400,4374400,4422413,"Gayle Forman",2009,"If I Stay","If I Stay (If I Stay, #1)","English",3.96,503527,34959
4989,4989,1041558,"Anita Diamant",1997,"The Red Tent","The Red Tent","English",4.16,424981,17234
28186,28186,43554,"Rick Riordan",2006,"The Sea of Monsters","The Sea of Monsters (Percy Jackson and the Olympians, #2)","English",4.23,514932,20097
5526,5526,3222389,"Nicholas Sparks",2006,"Dear John","Dear John","English",4.01,441062,10626
1582996,1582996,1575860,"Cassandra Clare",2008,"City of Ashes","City of Ashes (The Mortal Instruments, #2)","English",4.21,541117,23643
15241,15241,2963845,"J.R.R. Tolkien",1954,"The Two Towers","The Two Towers (The Lord of the Rings, #2)","English",4.42,480446,6980
42156,42156,1789440,"Emily Giffin",2004,"Something Borrowed","Something Borrowed (Darcy & Rachel, #1)","English",3.83,403601,11567
23772,23772,86934,"Dr. Seuss, לאה נאור",1960,"Green Eggs and Ham","Green Eggs and Ham","English",4.29,457475,7370
6310,6310,2765786,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory","Charlie and the Chocolate Factory (Charlie Bucket, #1)","English",4.1,453959,8473
2120932,2120932,2377629,"Rick Riordan",2008,"The Battle of the Labyrinth","The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)","English",4.39,508214,14098
2623,2623,2612809,"Charles Dickens",1860,"Great Expectations","Great Expectations","English",3.75,459247,12311
18512,18512,2964424,"J.R.R. Tolkien",1955,"The Return of the King","The Return of the King (The Lord of the Rings, #3)","English",4.51,463959,6644
49552,49552,3324344,"Albert Camus, Matthew    Ward",1942,"L’Étranger","The Stranger","English",3.96,420600,14836
7736182,7736182,10107891,"Rick Riordan",2010,"The Lost Hero","The Lost Hero (The Heroes of Olympus, #1)","English",4.35,271576,17107
15745753,15745753,17225055,"Rainbow Rowell",2013,"Eleanor & Park","Eleanor & Park","English",4.11,514312,53005
13497,13497,1019062,"George R.R. Martin",2005,"A Feast for Crows","A Feast for Crows (A Song of Ice and Fire, #4)","English",4.1,428186,18876
7735333,7735333,9631645,"Ally Condie",2010,"Matched","Matched (Matched, #1)","English",3.68,511815,30226
4407,30165203,1970226,"Neil Gaiman",2001,"American Gods","American Gods (American Gods, #1)","English",4.11,378019,27587
149267,149267,1742269,"Stephen King, Bernie Wrightson",1978,"The Stand","The Stand","English",4.34,438832,13808
6400090,6400090,6588800,"Nicholas Sparks",2008,"The Last Song","The Last Song","English",4.14,424637,11051
11125,11125,40195,"Dan Brown",1998,"Digital Fortress","Digital Fortress","English",3.6,423019,7538
6969,6969,3360164,"Jane Austen, Fiona Stafford",1815,"Emma","Emma","English",3.99,459826,11724
15823480,15823480,2507928,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,"Анна Каренина","Anna Karenina","English",4.02,297472,18064
227463,227463,23596,"Anthony Burgess",1962,"A Clockwork Orange","A Clockwork Orange","English",3.98,431195,9958
1812457,1812457,2666268,"William Paul Young",2007,"The Shack: Where Tragedy Confronts Eternity","The Shack","English",3.74,419539,29377
4502507,4556058,4551489,"Rick Riordan",2009,"The Last Olympian","The Last Olympian (Percy Jackson and the Olympians, #5)","English",4.5,397500,17693
18342,830502,150259,"Stephen King",1986,"It","It","English",4.18,292592,11698
7144,7144,3393917,"Fyodor Dostoyevsky, David McDuff",1866,"Преступление и наказание","Crime and Punishment","English",4.18,380903,12605
6514,6514,1385044,"Sylvia Plath",1963,"The Bell Jar","The Bell Jar","English",3.98,401605,15963
252577,252577,2883783,"Frank McCourt",1996,"Angela's Ashes: A Memoir","Angela's Ashes (Frank McCourt, #1)","English",4.07,392103,9798
52036,52036,4840290,"Hermann Hesse, Hilda Rosner",1922,"Siddhartha","Siddhartha","English",3.99,372099,11518
168642,168642,1940709,"Truman Capote",1965,"In Cold Blood","In Cold Blood","English",4.05,381652,11754
6304335,6304335,6488966,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures","Beautiful Creatures (Caster Chronicles, #1)","English",3.76,436093,20808
7171637,7171637,6674837,"Cassandra Clare",2010,"Clockwork Angel","Clockwork Angel (The Infernal Devices, #1)","English",4.33,490890,24385
39988,39988,1015554,"Roald Dahl, Quentin Blake",1988,"Matilda","Matilda","English",4.29,440743,11053
9361589,9361589,14245059,"Erin Morgenstern",2011,"The Night Circus","The Night Circus","English",4.03,429543,54008
37470,37470,3248536,"Philippa Gregory",2001,"The Other Boleyn Girl","The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)","English",4.04,381080,15846
24770,24770,2895388,"Scott Westerfeld",2005,"Uglies","Uglies (Uglies, #1)","English",3.86,449073,21234
10664113,10664113,2936175,"George R.R. Martin",2011,"A Dance with Dragons","A Dance with Dragons (A Song of Ice and Fire, #5)","English",4.31,365954,20072
33,33,3462456,"J.R.R. Tolkien",1955,"The Lord of the Rings","The Lord of the Rings (The Lord of the Rings, #1-3)","English",4.47,389054,9365
12262741,12262741,17237712,"Cheryl Strayed",2012,"Wild: From Lost to Found on the Pacific Crest Trail","Wild: From Lost to Found on the Pacific Crest Trail","English",3.96,379872,34444
472331,472331,4358649,"Alan Moore, Dave Gibbons, John Higgins",1987,"Watchmen","Watchmen","English",4.35,398018,10851
186074,186074,2502879,"Patrick Rothfuss",2007,"The Name of the Wind","The Name of the Wind (The Kingkiller Chronicle, #1)","English",4.55,400101,28631
3228917,3228917,3364437,"Malcolm Gladwell",2008,"Outliers: The Story of Success","Outliers: The Story of Success","English",4.11,353011,19383
153747,153747,2409320,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby Dick; or, The Whale","Moby-Dick or, The Whale","English",3.46,358050,11223
2728527,2728527,2754161,"Mary Ann Shaffer, Annie Barrows",2008,"The Guernsey Literary and Potato Peel Pie Society","The Guernsey Literary and Potato Peel Pie Society","English",4.12,393626,39853
5759,5759,68729,"Chuck Palahniuk",1996,"Fight Club","Fight Club","English",4.2,365349,11176
301082,301082,479517,"Charlaine Harris",2001,"Dead Until Dark","Dead Until Dark (Sookie Stackhouse, #1)","English",3.96,420764,16818
11486,11486,3300573,"Alice Walker",1982,"The Color Purple","The Color Purple","English",4.17,376766,9485
12691,12691,14961,"John Grogan",2005,"Marley & Me: Life and Love with the World's Worst Dog","Marley and Me: Life and Love With the World's Worst Dog","English",4.12,367304,13407
16299,16299,3038872,"Agatha Christie",1939,"Ten Little Niggers","And Then There Were None","English",4.23,408983,17264
6411961,6411961,6600281,"Dan Brown",2009,"The Lost Symbol","The Lost Symbol (Robert Langdon, #3)","English",3.66,369428,24199
6339664,6339664,6525609,"Becca Fitzpatrick",2009,"Hush, Hush","Hush, Hush (Hush, Hush, #1)","English",4,448166,21871
11505797,11505797,16441531,"Jamie McGuire",2011,"Beautiful Disaster","Beautiful Disaster (Beautiful, #1)","English",4.15,418309,25298
43763,43763,873132,"Anne Rice",1976,"Interview with the Vampire","Interview with the Vampire (The Vampire Chronicles, #1)","English",3.97,372566,7951
10507293,10507293,15413183,"Kiera Cass",2012,"The Selection","The Selection (The Selection, #1)","English",4.15,505340,35681
6853,6853,1486401,"Janet Evanovich",1994,"One for the Money","One for the Money (Stephanie Plum, #1)","English",4.03,391007,13050
6493208,6493208,6684634,"Rebecca Skloot",2010,"The Immortal Life of Henrietta Lacks","The Immortal Life of Henrietta Lacks","English",4.04,377249,28624
23807,23807,22533,"Thomas Harris",1988,"The Silence of the Lambs","The Silence of the Lambs  (Hannibal Lecter, #2)","English",4.14,351107,3866
40102,40102,1180927,"Malcolm Gladwell",2005,"Blink: The Power of Thinking Without Thinking","Blink: The Power of Thinking Without Thinking","English",3.89,348196,12215
6867,6867,2307233,"Ian McEwan",2001,"Atonement","Atonement","English",3.88,347006,14815
485894,485894,2373750,"Franz Kafka, Stanley Corngold",1915,"Die Verwandlung","The Metamorphosis","English",3.78,364933,10252
561456,561456,2936530,"Rick Riordan",2007,"The Titan's Curse","The Titan's Curse (Percy Jackson and the Olympians, #3)","English",4.33,446668,15418
3153910,3153910,3175590,"Garth Stein",2006,"The Art of Racing in the Rain","The Art of Racing in the Rain","English",4.19,327409,32021
21996,21996,3486041,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","English",3.98,309385,25846
13572249,20448515,18973111,"Sylvia Day",2012,"Bared to You","Bared to You (Crossfire, #1)","English",4.19,222678,16748
11127,11127,781271,"C.S. Lewis, Pauline Baynes",1956,"The Chronicles of Narnia","The Chronicles of Narnia (Chronicles of Narnia, #1-7)","English",4.24,376385,8871
60748,60748,59104,"Dave Pelzer",1995,"A Child Called ""It"": One Child's Courage to Survive","A Child Called ""It"" (Dave Pelzer #1)","English",4.08,311543,13729
7869,7869,859111,"Robert Ludlum",1980,"The Bourne Identity","The Bourne Identity (Jason Bourne, #1)","English",3.98,327122,3899
249747,249747,1334778,"Eoin Colfer",2001,"Artemis Fowl","Artemis Fowl (Artemis Fowl, #1)","English",3.82,386923,8384
6487308,6487308,6678670,"Lauren Kate",2009,"Fallen","Fallen (Fallen, #1)","English",3.74,395296,17725
4406,4406,2574991,"John Steinbeck",1952,"East of Eden","East of Eden","English",4.35,320919,14454
5886881,5886881,6873353,"Gillian Flynn",2009,"Dark Places","Dark Places","English",3.92,333452,28784
